Chromosome	TADborder	Nut.0h	Nut.1h	Nut.4h	Nut.7h	Nut.10h	Nut.24h	Category_tads	state_tads	Nut.0h_VS_Nut.1h	Nut.1h_VS_Nut.4h	Nut.4h_VS_Nut.7h	Nut.7h_VS_Nut.10h	Nut.10h_VS_Nut.24h	IS_Nut.0h	IS_Nut.1h	IS_Nut.4h	IS_Nut.7h	IS_Nut.10h	IS_Nut.24h	sigmoid_IS_Nut.0h	sigmoid_IS_Nut.1h	sigmoid_IS_Nut.4h	sigmoid_IS_Nut.7h	sigmoid_IS_Nut.10h	sigmoid_IS_Nut.24h
6	125450000	0	0	0	0	0	6	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD	Variable	NoTAD	NoTAD	NoTAD	NoTAD	Gained	NA	NA	NA	NA	NA	-0.2141	NA	NA	NA	NA	NA	0.44667852729807445
6	125640625	8	7	6	6	6	0	TAD-TAD-TAD-TAD-TAD-NoTAD	Variable	Maintained	Maintained	Maintained	Maintained	Lost	-0.8724	-0.8422	-0.8139	-0.8129	-0.9709	NA	0.2947551574380204	0.3010716409756964	0.3070600525816666	0.30727286780117946	0.27470114946995877	NA
6	125800000	0	0	0	0	0	6	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD	Variable	NoTAD	NoTAD	NoTAD	NoTAD	Gained	NA	NA	NA	NA	NA	0.5767	NA	NA	NA	NA	NA	0.6403077234181125
6	126054687	6	9	6	9	6	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.6946	-0.6774	-0.6547	-0.686	-0.7342	-0.8178	0.3330105627802047	0.3368418424777326	0.34193118602554584	0.33492348309220665	0.32427374385117697	0.30623085828392466
6	126304687	6	9	6	9	6	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.894	-0.9084	-0.9333	-0.9556	-0.8751	-1.0711	0.290285058095189	0.2873273582861704	0.28225569590718064	0.27776001246931475	0.29419420733808327	0.25519395087866176
6	12650000	10	10	10	10	10	6	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.6941	-0.6703	-0.6068	-0.6531	-0.8604	-0.3661	0.3331216293152884	0.33842966903321675	0.3527895062929095	0.34229129982521744	0.29725578096682026	0.4094837341240187
6	127598437	9	5	8	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.6258	-0.6553	-0.7805	-0.7981	-0.7622	-0.9717	0.3484634839747338	0.34179619028273667	0.31421213461999703	0.31043209392734644	0.3181688130858128	0.2745417858596489
6	127850000	0	10	10	10	10	10	NoTAD-TAD-TAD-TAD-TAD-TAD	Variable	Gained	Maintained	Maintained	Maintained	Maintained	NA	-0.6406	-0.5858	-0.6242	-0.6274	-0.6988	NA	0.3451109211703247	0.35759910852502097	0.34882683068858955	0.34810031341107583	0.33207833695541333
6	128000000	10	0	0	0	0	0	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD	Variable	Lost	NoTAD	NoTAD	NoTAD	NoTAD	-0.7848	NA	NA	NA	NA	NA	0.31328629934804414	NA	NA	NA	NA	NA
6	129100000	10	0	0	0	0	0	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD	Variable	Lost	NoTAD	NoTAD	NoTAD	NoTAD	-0.5259	NA	NA	NA	NA	NA	0.3714736545284911	NA	NA	NA	NA	NA
