ensembl_gene_id	HCT116_Nut0h_1	HCT116_Nut0h_2	HCT116_Nut10h_1	HCT116_Nut10h_2	HCT116_Nut1h_1	HCT116_Nut1h_2
ENSG00000006210	0	1	0	1	0	1
ENSG00000006282	2855	3140	4239	3822	1564	1276
ENSG00000006283	252	261	210	175	127	75
ENSG00000006327	8410	7146	8294	7061	4858	4322
ENSG00000006377	0	0	0	0	0	0
ENSG00000006432	1114	1260	1438	1596	1154	865
ENSG00000006451	1240	1324	1300	1549	1879	1547
ENSG00000006453	3979	3925	4571	4303	2478	2081
ENSG00000006459	228	300	347	501	550	361
ENSG00000006468	653	689	440	520	813	646
ENSG00000006530	1101	1224	1312	1420	1303	993
ENSG00000006534	1185	1058	1313	1055	406	324
ENSG00000006555	23	37	37	27	21	11
ENSG00000006576	1016	1219	768	833	2028	1585
ENSG00000006606	3	10	5	4	2	6
ENSG00000006607	1345	1645	1120	1368	2067	1597
ENSG00000006611	389	383	641	546	222	169
ENSG00000006625	1129	1060	839	899	2106	1625
ENSG00000006634	1800	1866	639	737	2559	1998
ENSG00000006638	355	275	270	226	101	94
ENSG00000006652	514	581	462	542	942	734
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	1514	1473	1605	1654	939	827
ENSG00000006704	1850	1689	1119	1045	993	816
ENSG00000006712	3927	3689	3073	2836	3026	2880
ENSG00000006715	1092	1273	1339	1687	2022	1425
ENSG00000006740	373	361	348	384	279	222
ENSG00000006744	9340	9025	7946	7338	5535	4960
ENSG00000006747	0	0	0	0	2	0
ENSG00000006756	208	206	338	332	187	123
ENSG00000006757	408	461	482	483	316	262
ENSG00000006788	1	0	0	0	0	0
ENSG00000006831	3749	3944	2853	3207	4798	4011
ENSG00000006837	13	24	19	24	33	22
ENSG00000007001	1	0	2	0	0	0
ENSG00000007038	0	0	0	0	1	0
ENSG00000007047	2752	2171	3041	2591	1070	896
ENSG00000007062	608	801	705	863	1008	863
ENSG00000007080	9512	7736	7963	6391	3854	3673
ENSG00000007129	2	0	2	1	0	1
ENSG00000007168	4036	4125	2997	3425	5413	4256
ENSG00000007171	1	4	0	4	4	2
ENSG00000007174	0	1	0	0	2	0
ENSG00000007202	5838	6573	5379	5556	5779	4683
ENSG00000007216	1	0	0	0	1	0
ENSG00000007237	103	131	289	294	88	60
ENSG00000007255	176	143	196	166	66	64
ENSG00000007264	0	0	0	7	0	0
ENSG00000007306	2	0	0	0	0	0
ENSG00000007312	3	7	26	27	1	3
ENSG00000007314	35	33	21	22	10	8
ENSG00000007341	190	189	213	194	322	270
ENSG00000007350	2	3	0	2	3	1
ENSG00000007372	140	155	93	90	145	112
ENSG00000007376	7295	5871	4769	3997	1618	1595
ENSG00000007384	702	829	1111	963	249	238
ENSG00000007392	1062	1008	905	824	1059	851
ENSG00000007402	805	794	632	590	460	388
ENSG00000007516	1475	1569	1569	1331	622	492
ENSG00000007520	3382	2633	2588	2003	916	768
ENSG00000007541	1177	1131	1088	974	373	294
ENSG00000007545	796	747	800	827	670	552
ENSG00000007866	1950	1668	2250	2266	929	766
ENSG00000007908	0	0	0	0	0	0
ENSG00000007923	2492	2761	2328	2335	2552	2340
ENSG00000007933	0	0	0	0	0	0
ENSG00000007944	193	191	179	205	363	278
ENSG00000007952	18	15	15	12	45	32
ENSG00000007968	2437	2486	416	336	2079	1737
ENSG00000008018	6475	6856	6637	7075	7537	6421
ENSG00000008056	58	40	38	56	10	11
ENSG00000008083	1189	1260	1737	1813	1333	1102
ENSG00000008086	27	53	53	71	63	36
ENSG00000008118	0	0	1	0	0	0
ENSG00000008128	147	176	133	152	54	57
ENSG00000008130	3583	3395	2815	2592	1970	1537
ENSG00000008196	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	5	9	3	6	2	1
ENSG00000008256	1508	1623	1609	1512	1135	886
ENSG00000008277	385	464	316	461	739	527
ENSG00000008282	2071	2321	1903	2312	3768	2907
ENSG00000008283	3704	3429	3122	3151	2783	2327
ENSG00000008294	3100	3465	3026	3299	5088	3901
ENSG00000008300	620	708	803	894	442	372
ENSG00000008311	50	64	89	205	145	80
ENSG00000008323	1654	1365	1596	1268	464	410
ENSG00000008324	430	416	298	365	512	355
ENSG00000008382	581	446	471	403	183	161
ENSG00000008394	1809	1964	1652	1961	2365	1882
ENSG00000008405	426	396	272	344	398	328
ENSG00000008438	7	7	10	8	6	1
ENSG00000008441	4271	3934	2674	2685	2221	1968
ENSG00000008513	1080	1227	809	890	923	751
ENSG00000008516	97	68	69	76	45	24
ENSG00000008517	0	5	5	0	1	0
ENSG00000008710	6337	6504	5535	5022	2791	2294
ENSG00000008735	407	395	307	250	153	119
ENSG00000008838	7415	7213	6571	6166	3587	3179
ENSG00000008853	740	692	626	716	441	358
ENSG00000008869	549	755	869	1139	854	622
ENSG00000008952	2275	2394	1996	2344	3916	2983
ENSG00000008988	23556	22634	24777	23673	16209	14233
ENSG00000009307	17861	19409	16974	19743	27954	22846
ENSG00000009335	5432	5877	5231	5691	5866	4949
ENSG00000009413	728	960	1234	1609	1584	1098
ENSG00000009694	0	0	0	1	0	0
ENSG00000009709	0	0	5	1	0	0
ENSG00000009724	40	52	38	34	90	80
ENSG00000009765	1	0	0	0	1	0
ENSG00000009780	310	254	267	287	410	314
ENSG00000009790	86	98	84	98	123	87
ENSG00000009830	1388	1509	1186	1275	956	767
ENSG00000009844	2325	2606	2350	2807	3164	2454
ENSG00000009950	2039	2097	2766	2631	1211	822
ENSG00000009954	7547	7841	4579	5200	9726	8017
ENSG00000010017	2697	2576	1908	2094	2451	1921
ENSG00000010030	43	38	110	125	24	19
ENSG00000010072	408	463	461	541	724	573
ENSG00000010165	2046	1908	1906	2021	1765	1505
ENSG00000010219	490	473	516	537	301	284
ENSG00000010244	7118	7777	5792	6024	6715	5281
ENSG00000010256	10149	9301	10170	8570	5193	4464
ENSG00000010270	850	908	809	933	1179	996
ENSG00000010278	4020	3993	4081	4184	4380	3596
ENSG00000010282	0	5	7	3	2	1
ENSG00000010292	18044	18507	10504	10803	15754	12729
ENSG00000010295	6	2	7	17	5	6
ENSG00000010310	223	253	336	380	151	108
ENSG00000010318	173	172	115	127	174	147
ENSG00000010319	170	144	485	455	141	124
ENSG00000010322	4480	4317	4931	4717	2422	1968
ENSG00000010327	4	5	6	3	1	2
ENSG00000010361	43	25	46	46	15	11
ENSG00000010379	9	6	9	5	9	2
ENSG00000010404	1648	1751	2044	2368	2378	1767
ENSG00000010438	1245	1283	1171	993	417	359
ENSG00000010539	336	348	177	216	568	400
ENSG00000010610	6	11	3	17	6	8
ENSG00000010626	185	224	181	185	187	118
ENSG00000010671	5	7	9	1	5	3
ENSG00000010704	466	499	410	469	700	590
ENSG00000010803	1254	1305	1054	1005	784	626
ENSG00000010810	430	363	586	546	264	217
ENSG00000010818	626	777	559	568	918	654
ENSG00000010932	12	6	11	16	10	8
ENSG00000011007	2495	2309	1703	1872	2522	2276
ENSG00000011009	5331	4353	5775	5397	1976	1736
ENSG00000011021	480	691	502	631	442	347
ENSG00000011028	658	567	555	480	280	234
ENSG00000011052	0	0	0	0	0	0
ENSG00000011083	0	0	0	0	0	0
ENSG00000011105	821	736	875	895	571	447
ENSG00000011114	1160	1479	1285	1526	2087	1612
ENSG00000011132	1583	1415	1467	1301	448	333
ENSG00000011143	872	812	844	791	690	592
ENSG00000011198	392	499	362	426	701	563
ENSG00000011201	0	0	0	28	0	0
ENSG00000011243	2978	2869	3211	3150	1858	1646
ENSG00000011258	1070	1249	1435	1597	2219	1566
ENSG00000011260	3119	3055	2300	2263	3460	2910
ENSG00000011275	3712	3823	3481	3417	2718	2325
ENSG00000011295	2425	2489	2752	2907	3158	2570
ENSG00000011304	38276	37233	25610	25333	21208	18529
ENSG00000011332	585	553	407	361	279	289
ENSG00000011347	2510	2224	2153	2055	1645	1287
ENSG00000011376	1878	1962	1858	1818	1720	1461
ENSG00000011405	1630	2071	1714	2253	3306	2262
ENSG00000011422	2754	2685	3052	2808	1643	1275
ENSG00000011426	7085	8017	2435	2676	9054	7527
ENSG00000011451	4121	3904	4221	3834	1789	1488
ENSG00000011454	1036	1095	1162	1287	1308	1104
ENSG00000011465	0	0	0	0	0	0
ENSG00000011478	997	930	887	678	418	344
